Time (ms),Joint 1 (deg),Joint 2 (deg),Joint 3 (deg),Joint 4 (deg),Joint 5 (deg),Joint 6 (deg),Twin 1 (deg),Twin 2 (deg),Twin 3 (deg),Twin 4 (deg),Twin 5 (deg),Twin 6 (deg)
30,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
30.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
31,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
31.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
31.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
31.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
31.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
31.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
31.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
